Country Name,Country Code,Series Name,Series Code,2024
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,40.6643401237324
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.7567016768489
Algeria,DZA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.32498564193319
American Samoa,ASM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.7690648645529
Antigua and Barbuda,ATG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Argentina,ARG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.9182617856446
Armenia,ARM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,56.595159249332
Aruba,ABW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Australia,AUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.523564658766
Austria,AUT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.2534505205013
Azerbaijan,AZE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,41.6430200899153
"Bahamas, The",BHS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Bahrain,BHR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,50.812113972221
Bangladesh,BGD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.448478581462
Barbados,BRB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Belarus,BLR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.8651809433118
Belgium,BEL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.2769952556641
Belize,BLZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Benin,BEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.9434337711265
Bermuda,BMU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Bhutan,BTN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Bolivia,BOL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.1320407615898
Bosnia and Herzegovina,BIH,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.6174964740432
Botswana,BWA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Brazil,BRA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,12.2227227539878
British Virgin Islands,VGB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Brunei Darussalam,BRN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Bulgaria,BGR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.93469775484
Burkina Faso,BFA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,43.0070770374443
Burundi,BDI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,59.9654214507213
Cabo Verde,CPV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Cambodia,KHM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,51.2313975117273
Cameroon,CMR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.8407014862815
Canada,CAN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,19.0006952471865
Cayman Islands,CYM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Central African Republic,CAF,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,41.9125645661322
Chad,TCD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.0327115259686
Channel Islands,CHI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Chile,CHL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,39.911469536561
China,CHN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,3.23421376501227
Colombia,COL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.6707261501096
Comoros,COM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
"Congo, Dem. Rep.",COD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.4346664347482
"Congo, Rep.",COG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,61.7794826340256
Costa Rica,CRI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,34.7473931134317
Cote d'Ivoire,CIV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,34.2465307220364
Croatia,HRV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,30.0195130213327
Cuba,CUB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.2448288115854
Curacao,CUW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Cyprus,CYP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Czechia,CZE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.3276615396419
Denmark,DNK,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.2631794454736
Djibouti,DJI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,66.0543080644846
Dominica,DMA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Dominican Republic,DOM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.927639407577
Ecuador,ECU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.0769130321233
"Egypt, Arab Rep.",EGY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,44.8778468352452
El Salvador,SLV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.3221702579715
Equatorial Guinea,GNQ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,34.8433523735323
Eritrea,ERI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,71.6093007557396
Estonia,EST,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,47.4869645688184
Eswatini,SWZ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Ethiopia,ETH,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.2535599563742
Faroe Islands,FRO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Federal Republic of Somalia,SOM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.5652197483479
Fiji,FJI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Finland,FIN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.8221231749872
France,FRA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,20.0603637812261
French Polynesia,PYF,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Gabon,GAB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.1289089443246
"Gambia, The",GMB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.5636900122481
Georgia,GEO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,48.2630618602581
Germany,DEU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,5.49857953442733
Ghana,GHA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.9432502398309
Gibraltar,GIB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Greece,GRC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.4954209243255
Greenland,GRL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Grenada,GRD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Guam,GUM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Guatemala,GTM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.0607646796852
Guinea,GIN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.3346345595477
Guinea-Bissau,GNB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,67.9645756662107
Guyana,GUY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Haiti,HTI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,42.9853291869296
Honduras,HND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.4420848435657
"Hong Kong SAR, China",HKG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,100
Hungary,HUN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.4428586004985
Iceland,ISL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
India,IND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,6.32012718366372
Indonesia,IDN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,6.8137888850495
"Iran, Islamic Rep.",IRN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,13.5158214339211
Iraq,IRQ,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.9435274811941
Ireland,IRL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.8673179395073
Isle of Man,IMN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Israel,ISR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,48.4933780299146
Italy,ITA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,10.1588952683841
Jamaica,JAM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,36.5998887780463
