kod;nazev;statuskod;okres;pou;clenenismrozsahkod;clenenismtypkod;nutslau;datumvzniku;vusc;orp;Poc_obyv_SLDB_2021;poc_muzu;poc_zen;poc_obyv_0_14;poc_obyv_15_64;poc_obyv_nad_65;prum_vek;prum_vek_muzi;prum_vek_zeny;stav_nezjisteno;reg_partnerstvi;reg_part_zanikle;reg_part_zanikle_umrtim;rozvedeni;svobodni;ovdoveli;zenati_vdane;bez_vzdelani;vzdelani_nezjisteno;zakladni_vzdelani;stredni_vzdelani;stredni_vzd_s_maturitou;vyssi_odborne_vzd;vysokoskolske_vzd;ceska_narodnost;moravska_narodnost;slezska_narodnost;slovenska_narodnost;ukrajinska_narodnost;vietnamska_narodnost;ostatni_narodnost;bez_nabozenske_viry;cirkev_ceskoslovenska_husitska;cirkev_rimskokatolicka;ceskobratrska_cirkev_evangelick;katolicka_vira;krestanstvi;svedkove_jehovovi;vira_neuvedena;verici_hlasici_se_k_cirkvi;verici_nehlasici_se_k_cirkvi;pravoslavna_cirkev;protestantska_evangelicka_vira;ostatni_vira;celkem_domu;vlastnik_domu_byt_druzstvo;vlastnik_domu_fyz_os;vlastnik_domu_prav_osoba_jina;vlastnik_domu_kombinace;vlastnik_domu_nezjisteno;vlastnik_domu_obec_stat;spoluvlastnictvi_bytu;vystavba_pred1919;vystavba_1920_1945;vystavba_1946_1970;vystavba_1971_1980;vystavba_1981_1990;vystavba_1991_2000;vystavba_2001_2010;vystavba_2011_2015;vystavba_po2016;vystavba_nezjisteno;shape_Length;shape_Area
500020;Petrov nad Desnou;2;3809;3867;;;CZ0715500020;1. 1. 2010 0:00:00;124;2020;1195,;592,;603,;179,;732,;284,;44,7;43,7;45,7;2,;1,;0,;0,;138,;454,;94,;506,;9,;34,;173,;408,;289,;16,;87,;688,;119,;1,;11,;0,;0,;22,;587,;1,;74,;3,;24,;2,;3,;340,;7,;112,;5,;5,;32,;376,;2,;339,;10,;0,;1,;4,;20,;47,;64,;43,;45,;46,;24,;39,;18,;27,;23,;16097,676497566864782;12087013,690049897879362
500801;Blatec;2;3805;3701;;;CZ0712500801;24. 11. 1990 0:00:00;124;1899;647,;332,;315,;114,;413,;120,;41,9;41,5;42,4;0,;0,;0,;0,;55,;262,;37,;293,;0,;32,;60,;207,;158,;9,;67,;352,;97,;0,;13,;0,;3,;11,;293,;2,;62,;2,;4,;7,;0,;197,;5,;67,;0,;1,;7,;216,;0,;210,;2,;0,;0,;1,;3,;27,;17,;39,;37,;15,;11,;20,;24,;11,;15,;16151,105437346761391;6584765,624449081718922
505269;Těšetice;2;3805;3701;;;CZ0712505269;;124;1899;1278,;649,;629,;215,;812,;251,;42,8;40,9;44,7;4,;0,;0,;0,;132,;523,;93,;526,;3,;62,;153,;354,;315,;17,;159,;749,;164,;4,;17,;2,;0,;30,;540,;2,;200,;1,;29,;8,;0,;374,;18,;97,;1,;1,;7,;416,;2,;394,;2,;0,;1,;4,;13,;56,;21,;80,;51,;45,;31,;47,;16,;30,;39,;21072,075996293569915;12482455,321797739714384
500135;Kozlov;2;3805;3701;;;CZ0712500135;1. 1. 2016 0:00:00;124;1899;220,;112,;108,;23,;156,;41,;44,3;43,3;45,4;0,;0,;0,;0,;55,;86,;14,;65,;2,;8,;39,;91,;40,;1,;16,;116,;33,;0,;4,;0,;0,;1,;121,;0,;6,;0,;1,;0,;0,;69,;0,;20,;0,;1,;2,;45,;0,;12,;0,;0,;0,;33,;0,;0,;16,;15,;4,;9,;0,;0,;1,;0,;0,;46598,181600192328915;45762421,462901540100574
500151;Luboměř pod Strážnou;2;3808;3794;;;CZ0714500151;1. 1. 2016 0:00:00;124;1970;105,;57,;48,;14,;68,;23,;44,6;41,;48,9;0,;0,;0,;0,;13,;46,;6,;40,;2,;2,;16,;35,;27,;0,;9,;54,;24,;0,;2,;2,;0,;0,;52,;0,;7,;0,;4,;2,;0,;29,;3,;8,;0,;0,;0,;35,;0,;12,;0,;0,;9,;14,;0,;0,;10,;21,;2,;0,;1,;0,;0,;0,;1,;17225,573090652778774;9580049,594901688396931
502839;Cholina;2;3805;3697;;;CZ0712502839;;124;1881;693,;343,;350,;121,;425,;147,;42,2;40,7;43,7;0,;0,;0,;0,;57,;281,;56,;299,;4,;18,;87,;204,;183,;4,;72,;349,;140,;1,;6,;0,;0,;17,;267,;6,;102,;0,;14,;9,;0,;197,;9,;84,;2,;0,;3,;243,;2,;233,;5,;0,;0,;3,;0,;51,;24,;29,;33,;18,;19,;24,;11,;11,;23,;14967,005440934030048;8989396,180897612124681
500160;Město Libavá;2;3805;3735;;;CZ0712500160;1. 1. 2016 0:00:00;124;1911;529,;278,;251,;81,;368,;80,;40,5;38,7;42,4;0,;0,;0,;0,;97,;254,;31,;147,;4,;37,;79,;175,;115,;1,;37,;272,;59,;0,;19,;0,;0,;2,;310,;0,;21,;0,;5,;5,;0,;146,;1,;41,;0,;0,;0,;111,;0,;60,;0,;0,;0,;50,;1,;16,;32,;15,;15,;15,;4,;3,;0,;2,;9,;42004,292570296747726;29327416,312501795589924
505862;Žerotín;2;3805;3735;;;CZ0712505862;24. 11. 1990 0:00:00;124;1911;422,;216,;206,;70,;263,;89,;43,6;42,4;44,4;2,;0,;0,;0,;37,;174,;26,;183,;0,;15,;43,;126,;123,;5,;40,;212,;61,;0,;6,;1,;0,;0,;155,;1,;75,;0,;11,;4,;0,;124,;3,;44,;3,;2,;0,;140,;1,;131,;0,;0,;1,;1,;6,;19,;19,;22,;15,;20,;11,;8,;5,;9,;12,;14703,188431128815864;7855142,223400607705116
500496;Olomouc;4;3805;3701;;;CZ0712500496;;124;1899;106063,;50706,;55357,;16735,;68383,;20945,;42,;40,2;43,6;640,;83,;18,;1,;14008,;48272,;6659,;36382,;390,;4171,;9039,;20628,;29547,;1491,;24062,;65014,;12733,;180,;1800,;483,;249,;3305,;51359,;422,;8155,;354,;1903,;588,;93,;29429,;521,;11247,;319,;178,;1410,;11760,;14,;8596,;429,;70,;37,;150,;2464,;1265,;2409,;1597,;1151,;915,;1286,;1548,;546,;595,;448,;91422,400444210346905;103334375,135553732514381
503444;Litovel;3;3805;3697;;;CZ0712503444;;124;1881;9459,;4600,;4859,;1490,;5864,;2105,;43,8;42,2;45,2;25,;0,;0,;0,;1090,;3874,;737,;3733,;62,;399,;1005,;2857,;2521,;125,;1000,;5219,;1687,;9,;70,;42,;17,;251,;4397,;117,;816,;8,;151,;63,;2,;2893,;67,;859,;31,;2,;42,;2225,;6,;1925,;72,;11,;7,;68,;136,;264,;249,;391,;305,;231,;219,;214,;66,;103,;183,;61518,324442315613851;46397389,609804861247540
500526;Bělkovice-Lašťany;2;3805;3701;;;CZ0712500526;;124;1899;2271,;1160,;1111,;433,;1424,;414,;41,;39,6;42,5;3,;2,;0,;0,;219,;942,;122,;983,;6,;79,;230,;674,;571,;13,;265,;1377,;269,;0,;12,;2,;3,;45,;1071,;11,;139,;5,;48,;15,;0,;720,;9,;213,;2,;0,;37,;724,;0,;716,;4,;0,;0,;1,;3,;70,;68,;119,;97,;85,;66,;90,;52,;52,;25,;26383,738678613575757;15294604,488600404933095
589438;Dobrochov;2;3709;3140;;;CZ0713589438;;124;1562;330,;176,;154,;56,;227,;47,;40,9;38,4;43,8;0,;0,;0,;0,;24,;126,;16,;164,;0,;10,;31,;103,;87,;5,;38,;189,;47,;0,;2,;0,;0,;9,;120,;0,;62,;0,;10,;1,;0,;98,;6,;33,;0,;0,;0,;118,;0,;114,;1,;0,;0,;2,;1,;7,;11,;22,;13,;17,;11,;14,;8,;7,;8,;6887,228444973891783;2527482,042000314686447
500623;Bílá Lhota;2;3805;3697;;;CZ0712500623;;124;1881;1106,;568,;538,;174,;699,;233,;43,7;42,9;44,6;0,;0,;0,;0,;100,;438,;74,;494,;5,;36,;133,;377,;269,;16,;96,;577,;220,;0,;4,;2,;0,;28,;503,;10,;112,;3,;29,;1,;0,;311,;7,;114,;6,;1,;9,;477,;1,;463,;7,;0,;0,;4,;2,;86,;53,;70,;44,;34,;39,;40,;16,;19,;76,;32151,772029436797311;18220997,909650210291147
500852;Bohuňovice;2;3805;3701;;;CZ0712500852;;124;1899;2383,;1189,;1194,;360,;1523,;500,;43,8;42,7;44,9;1,;1,;0,;0,;211,;931,;147,;1092,;12,;71,;246,;636,;667,;34,;357,;1438,;336,;0,;14,;11,;9,;40,;1080,;5,;267,;5,;40,;7,;7,;691,;16,;248,;1,;1,;15,;777,;1,;744,;8,;0,;5,;5,;14,;75,;71,;123,;83,;119,;88,;99,;40,;48,;31,;21775,606233117712691;12572848,024697912856936
500861;Bouzov;2;3805;3697;;;CZ0712500861;;124;1881;1425,;721,;704,;199,;904,;322,;45,;43,4;46,5;4,;0,;0,;0,;147,;530,;126,;618,;4,;54,;164,;484,;334,;7,;179,;753,;294,;2,;13,;2,;0,;27,;597,;2,;202,;1,;20,;4,;2,;433,;9,;136,;3,;1,;15,;613,;3,;571,;8,;1,;11,;15,;4,;96,;48,;75,;64,;62,;47,;49,;23,;12,;137,;45913,018634017680597;42305095,515951693058014
500879;Bystročice;2;3805;3701;;;CZ0712500879;;124;1899;842,;424,;418,;172,;525,;145,;40,3;38,9;41,7;1,;0,;0,;0,;78,;364,;52,;347,;6,;30,;85,;228,;197,;12,;112,;498,;111,;0,;5,;0,;0,;13,;407,;3,;50,;0,;19,;11,;0,;258,;1,;88,;0,;0,;5,;275,;0,;268,;2,;0,;1,;3,;1,;24,;23,;40,;30,;24,;16,;44,;28,;22,;24,;14151,579112653371340;8012370,008350544609129
