NUTS_ID;STAT;NAME;AI_2012;AI_2016;QoL;GEO_oblast
AT11;AT;Burgenland (AT);153,0704742;139,3582468;high;high
AT12;AT;Niederösterreich;130,6212547;144,9381145;high;medium
AT13;AT;Wien;119,2211869;125,6641723;high;medium
AT21;AT;Kärnten;144,5494547;136,4624536;high;high
AT22;AT;Steiermark;139,9297284;154,813979;high;medium
AT31;AT;Oberösterreich;109,5092136;128,7541404;high;medium
AT32;AT;Salzburg;105,1094374;129,5267606;high;low
AT33;AT;Tirol;104,5270103;127,7685574;high;medium
AT34;AT;Vorarlberg;94,92623108;110,408823;high;low
BE10;BE;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest;75,68155902;71,99823948;medium;medium
BE21;BE;Prov. Antwerpen;112,8974525;124,4836897;medium;medium
BE22;BE;Prov. Limburg (BE);121,3548289;129,0765241;medium;medium
BE23;BE;Prov. Oost-Vlaanderen;122,9822971;127,6473988;medium;medium
BE24;BE;Prov. Vlaams-Brabant;99,65254682;123,8368401;high;medium
BE25;BE;Prov. West-Vlaanderen;148,8652589;157,0886263;medium;medium
BE31;BE;Prov. Brabant Wallon;92,47353846;115,0590689;high;medium
BE32;BE;Prov. Hainaut;93,08701126;113,4029221;low;medium
BE33;BE;Prov. Liège;103,2117337;110,7408701;low;low
BE34;BE;Prov. Luxembourg (BE);79,41970069;90,14030948;medium;low
BE35;BE;Prov. Namur;92,8187133;110,5581635;medium;medium
BG31;BG;Severozapaden;176,9811503;161,7272415;low;high
BG32;BG;Severen tsentralen;164,4703498;157,6113855;low;high
BG33;BG;Severoiztochen;126,4153239;111,9921402;low;high
BG34;BG;Yugoiztochen;127,0795788;110,5650419;low;high
BG41;BG;Yugozapaden;137,0753008;119,7975311;low;high
BG42;BG;Yuzhen tsentralen;139,2180318;128,3638843;low;high
CY00;CY;Kypros;79,30056847;62,44440514;medium;high
CZ01;CZ;Praha;131,5059681;139,8097707;high;medium
CZ02;CZ;Strední Cechy;96,49367579;111,4174504;low;medium
CZ03;CZ;Jihozápad;119,6761441;131,2680059;low;low
CZ04;CZ;Severozápad;100,3861567;124,6393735;low;medium
CZ05;CZ;Severovýchod;117,8679139;133,5716777;low;medium
CZ06;CZ;Jihovýchod;133,8125159;137,1643078;medium;medium
CZ07;CZ;Strední Morava;120,638273;138,6399725;low;medium
CZ08;CZ;Moravskoslezsko;116,3942339;131,4323141;low;medium
DE11;DE;Stuttgart;134,5085948;146,5215687;high;medium
DE12;DE;Karlsruhe;150,1314973;161,0334202;high;medium
DE13;DE;Freiburg;136,2226604;149,3006871;high;medium
DE14;DE;Tübingen;126,2567769;145,2763349;high;medium
DE21;DE;Oberbayern;135,7083387;145,6667484;high;medium
DE22;DE;Niederbayern;137,6981185;160,3100891;high;medium
DE23;DE;Oberpfalz;139,6262629;158,6241336;high;low
DE24;DE;Oberfranken;159,6719872;184,8345992;medium;low
DE25;DE;Mittelfranken;158,173241;161,7736958;high;medium
DE26;DE;Unterfranken;169,9264853;162,2557514;high;medium
DE27;DE;Schwaben;139,4831753;159,6283201;high;medium
DE30;DE;Berlin;151,6103403;151,2624345;medium;medium
DE40;DE;Brandenburg;176,080466;166,8782653;medium;medium
DE50;DE;Bremen;161,8948555;172,5466712;medium;low
DE60;DE;Hamburg;148,9687087;148,4195206;high;low
DE71;DE;Darmstadt;136,2358561;147,8960501;high;medium
